config_id,family,hardness,threshold_value,threshold_unit,run_id,seed,feasible_found,first_feasible_iteration,stop_iteration,final_best_objective_cost,final_best_violation,final_best_feasible_cost,final_best_kp,final_best_ti,final_best_td,final_best_tf
reference_unconstrained,reference,unconstrained,0.0,-,16,20260429,1,0,23,0.23612408768735638,0.0,0.23612408768735638,10.0,0.729967376613763,0.6911359473485367,0.13822718946970733
reference_unconstrained,reference,unconstrained,0.0,-,17,20260430,1,0,29,0.24143171563304755,0.0,0.24143171563304755,9.784605968296708,0.6719607858400939,0.7130799114812122,0.14261598229624245
reference_unconstrained,reference,unconstrained,0.0,-,18,20260431,1,0,31,0.23770685845842807,0.0,0.23770685845842807,9.943184489174595,0.672172323309645,0.6854853108954806,0.13709706217909612
reference_unconstrained,reference,unconstrained,0.0,-,19,20260432,1,0,20,0.23728883630182546,0.0,0.23728883630182546,10.0,0.6620892011643676,0.6763881965787454,0.13527763931574907
reference_unconstrained,reference,unconstrained,0.0,-,20,20260433,1,0,34,0.23594777012228355,0.0,0.23594777012228355,10.0,0.6913683622411688,0.6884214585292305,0.13768429170584612
reference_unconstrained,reference,unconstrained,0.0,-,21,20260434,1,0,22,0.23591667362421845,0.0,0.23591667362421845,10.0,0.7151269471224968,0.6890602912236113,0.13781205824472226
reference_unconstrained,reference,unconstrained,0.0,-,22,20260435,1,0,27,0.23592369675741842,0.0,0.23592369675741842,9.998956889972627,0.6997914668764524,0.6858318186385509,0.13716636372771018
reference_unconstrained,reference,unconstrained,0.0,-,23,20260436,1,0,17,0.23622902311099475,0.0,0.23622902311099475,10.0,0.7399603930243025,0.688385081617303,0.1376770163234606
reference_unconstrained,reference,unconstrained,0.0,-,24,20260437,1,0,26,0.23922941300696865,0.0,0.23922941300696865,10.0,0.7893891407425396,0.7073153818442893,0.14146307636885785
reference_unconstrained,reference,unconstrained,0.0,-,25,20260438,1,0,27,0.23589526098915717,0.0,0.23589526098915717,10.0,0.714004178593449,0.6877088501446422,0.13754177002892845
reference_unconstrained,reference,unconstrained,0.0,-,26,20260439,1,0,28,0.23620981101875738,0.0,0.23620981101875738,10.0,0.7131047882338182,0.6989448429843158,0.13978896859686316
reference_unconstrained,reference,unconstrained,0.0,-,27,20260440,1,0,22,0.2382138880284057,0.0,0.2382138880284057,10.0,0.723657829156442,0.7231426004907116,0.1446285200981423
reference_unconstrained,reference,unconstrained,0.0,-,28,20260441,1,0,20,0.23644212717865615,0.0,0.23644212717865615,9.99761126827496,0.744320583869718,0.6760478343830422,0.13520956687660843
reference_unconstrained,reference,unconstrained,0.0,-,29,20260442,1,0,26,0.23638849974848267,0.0,0.23638849974848267,9.991252948652841,0.7157598252781091,0.6982454780361648,0.13964909560723296
