family,family_label,label,threshold_value,threshold_unit,constraint_type,mean_feasible_ratio,mean_feasible_percent,std_feasible_ratio,std_feasible_percent,selected_hardness,selected_target_ratio,selected_target_percent
ms,Stabilität Ms,Ms<=0.0 dB,0.0,dB,maximum,0.0,0.0,0.0,0.0,,nan,nan
ms,Stabilität Ms,Ms<=1.3 dB,1.2631578947368425,dB,maximum,0.007666666666666667,0.7666666666666667,0.004955356249106168,0.4955356249106168,,nan,nan
ms,Stabilität Ms,Ms<=2.5 dB,2.526315789473685,dB,maximum,0.022,2.1999999999999997,0.00541602560309064,0.541602560309064,hard,0.05,5.0
ms,Stabilität Ms,Ms<=3.8 dB,3.7894736842105274,dB,maximum,0.08133333333333334,8.133333333333335,0.013266499161421601,1.32664991614216,,nan,nan
ms,Stabilität Ms,Ms<=5.1 dB,5.05263157894737,dB,maximum,0.117,11.700000000000001,0.01929018172830705,1.929018172830705,,nan,nan
ms,Stabilität Ms,Ms<=6.3 dB,6.315789473684212,dB,maximum,0.15633333333333332,15.633333333333333,0.016292465879799916,1.6292465879799916,,nan,nan
ms,Stabilität Ms,Ms<=7.6 dB,7.578947368421055,dB,maximum,0.20266666666666666,20.266666666666666,0.025854292572887086,2.5854292572887085,medium,0.2,20.0
ms,Stabilität Ms,Ms<=8.8 dB,8.842105263157896,dB,maximum,0.256,25.6,0.028197714643408794,2.8197714643408793,,nan,nan
ms,Stabilität Ms,Ms<=10.1 dB,10.105263157894738,dB,maximum,0.31733333333333336,31.733333333333334,0.030868898407440597,3.08688984074406,,nan,nan
ms,Stabilität Ms,Ms<=11.4 dB,11.368421052631579,dB,maximum,0.37066666666666664,37.06666666666666,0.015405626677721794,1.5405626677721793,,nan,nan
ms,Stabilität Ms,Ms<=12.6 dB,12.631578947368421,dB,maximum,0.429,42.9,0.027810869178154878,2.781086917815488,,nan,nan
ms,Stabilität Ms,Ms<=13.9 dB,13.894736842105264,dB,maximum,0.5103333333333333,51.03333333333333,0.0192324956490022,1.9232495649002201,easy,0.5,50.0
ms,Stabilität Ms,Ms<=15.2 dB,15.157894736842106,dB,maximum,0.5853333333333334,58.53333333333334,0.015577761927397224,1.5577761927397225,,nan,nan
ms,Stabilität Ms,Ms<=16.4 dB,16.42105263157895,dB,maximum,0.6646666666666666,66.46666666666667,0.02486407493196202,2.486407493196202,,nan,nan
ms,Stabilität Ms,Ms<=17.7 dB,17.684210526315788,dB,maximum,0.7546666666666666,75.46666666666665,0.03360555509634282,3.3605555096342816,,nan,nan
ms,Stabilität Ms,Ms<=18.9 dB,18.94736842105263,dB,maximum,0.8396666666666667,83.96666666666667,0.025579940057266222,2.557994005726622,,nan,nan
ms,Stabilität Ms,Ms<=20.2 dB,20.210526315789473,dB,maximum,0.909,90.9,0.017578395831246964,1.7578395831246965,,nan,nan
ms,Stabilität Ms,Ms<=21.5 dB,21.473684210526315,dB,maximum,0.962,96.2,0.011075498483890752,1.107549848389075,,nan,nan
ms,Stabilität Ms,Ms<=22.7 dB,22.736842105263158,dB,maximum,0.981,98.1,0.007608474807008891,0.760847480700889,,nan,nan
ms,Stabilität Ms,Ms<=24.0 dB,24.0,dB,maximum,0.983,98.3,0.004068851871911232,0.40688518719112315,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=5 %,5.0,%,maximum,0.06533333333333333,6.533333333333332,0.011175369742826805,1.1175369742826804,hard,0.05,5.0
overshoot,Maximales Überschwingen,overshoot<=9.47 %,9.473684210526315,%,maximum,0.07266666666666667,7.2666666666666675,0.00916515138991168,0.9165151389911679,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=13.9 %,13.94736842105263,%,maximum,0.09666666666666666,9.666666666666666,0.012909944487358056,1.2909944487358056,,nan,nan
overshoot,Maximales Überschwingen,overshoot<=18.4 %,18.421052631578945,%,maximum,0.09133333333333334,9.133333333333333,0.015143755588800725,1.5143755588800725,,nan,nan
